,x,y,x_end,Przedmiot,Strona,length_x,hour_mapped,x_cord_mapped,hour_diff,Godzina rozpoczęcia,Duration,Week_day
0,309.17,516.7516,558.0430400000002,"Plan NS sem. zimowy 2020/2021_Informatyka, NS - I st., rok III, semestr 5_",0,248.87304000000023,11:00_,291.29,17.879999999999995,11:30,2h 30min,
1,381.53,488.5,485.894,Sobota 03.10.2020_,0,104.36400000000003,12:00_,342.65,38.879999999999995,13:00,2h 30min,
2,85.8,473.7016,114.02928,07:00_,0,28.229280000000003,07:00_,85.8,0.0,7:15,1h 30min,Sobota 03.10.2020_
3,137.18,473.7016,165.40928,08:00_,0,28.22927999999999,08:00_,137.18,0.0,8:15,1h 30min,Sobota 03.10.2020_
4,188.54,473.7016,216.76927999999998,09:00_,0,28.22927999999999,09:00_,188.54,0.0,9:15,1h 30min,Sobota 03.10.2020_
5,239.9,473.7016,268.12928,10:00_,0,28.22927999999999,10:00_,239.9,0.0,10:15,1h 30min,Sobota 03.10.2020_
6,291.29,473.7016,319.51928000000004,11:00_,0,28.229280000000017,11:00_,291.29,0.0,11:15,1h 30min,Sobota 03.10.2020_
7,342.65,473.7016,370.87928,12:00_,0,28.229280000000017,12:00_,342.65,0.0,12:15,1h 30min,Sobota 03.10.2020_
8,394.01,473.7016,422.23928,13:00_,0,28.229280000000017,13:00_,394.01,0.0,13:15,1h 30min,Sobota 03.10.2020_
9,445.39,473.7016,473.61928,14:00_,0,28.229280000000017,14:00_,445.39,0.0,14:15,1h 30min,Sobota 03.10.2020_
10,496.75,473.7016,524.97928,15:00_,0,28.229280000000017,15:00_,496.75,0.0,15:15,1h 30min,Sobota 03.10.2020_
11,548.11,473.7016,576.33928,16:00_,0,28.229280000000017,16:00_,548.11,0.0,16:15,1h 30min,Sobota 03.10.2020_
12,599.5,473.7016,627.72928,17:00_,0,28.229280000000017,17:00_,599.5,0.0,17:15,1h 30min,Sobota 03.10.2020_
13,650.86,473.7016,679.08928,18:00_,0,28.229280000000017,18:00_,650.86,0.0,18:15,1h 30min,Sobota 03.10.2020_
14,702.22,473.7016,730.44928,19:00_,0,28.229280000000017,19:00_,702.22,0.0,19:15,1h 30min,Sobota 03.10.2020_
15,753.6,473.7016,781.82928,20:00_,0,28.229280000000017,20:00_,753.6,0.0,20:15,1h 30min,Sobota 03.10.2020_
16,85.8,336.3916,114.02928,07:00_,0,28.229280000000003,07:00_,85.8,0.0,7:15,1h 30min,Sobota 03.10.2020_
17,137.18,336.3916,165.40928,08:00_,0,28.22927999999999,08:00_,137.18,0.0,8:15,1h 30min,Sobota 03.10.2020_
18,188.54,336.3916,216.76927999999998,09:00_,0,28.22927999999999,09:00_,188.54,0.0,9:15,1h 30min,Sobota 03.10.2020_
19,239.9,336.3916,268.12928,10:00_,0,28.22927999999999,10:00_,239.9,0.0,10:15,1h 30min,Sobota 03.10.2020_
20,291.29,336.3916,319.51928000000004,11:00_,0,28.229280000000017,11:00_,291.29,0.0,11:15,1h 30min,Sobota 03.10.2020_
21,342.65,336.3916,370.87928,12:00_,0,28.229280000000017,12:00_,342.65,0.0,12:15,1h 30min,Sobota 03.10.2020_
22,394.01,336.3916,422.23928,13:00_,0,28.229280000000017,13:00_,394.01,0.0,13:15,1h 30min,Sobota 03.10.2020_
23,445.39,336.3916,473.61928,14:00_,0,28.229280000000017,14:00_,445.39,0.0,14:15,1h 30min,Sobota 03.10.2020_
24,496.75,336.3916,524.97928,15:00_,0,28.229280000000017,15:00_,496.75,0.0,15:15,1h 30min,Sobota 03.10.2020_
25,548.11,336.3916,576.33928,16:00_,0,28.229280000000017,16:00_,548.11,0.0,16:15,1h 30min,Sobota 03.10.2020_
26,599.5,336.3916,627.72928,17:00_,0,28.229280000000017,17:00_,599.5,0.0,17:15,1h 30min,Sobota 03.10.2020_
27,650.86,336.3916,679.08928,18:00_,0,28.229280000000017,18:00_,650.86,0.0,18:15,1h 30min,Sobota 03.10.2020_
28,702.22,336.3916,730.44928,19:00_,0,28.229280000000017,19:00_,702.22,0.0,19:15,1h 30min,Sobota 03.10.2020_
29,753.6,336.3916,781.82928,20:00_,0,28.229280000000017,20:00_,753.6,0.0,20:15,1h 30min,Sobota 03.10.2020_
30,375.77,351.19,491.642,Niedziela 04.10.2020_,0,115.87200000000001,12:00_,342.65,33.120000000000005,12:45,2h 30min,Sobota 03.10.2020_
31,39.24,412.5016,52.74192,ISI_,0,13.501919999999998,-1,-1.0,40.24,-1,1h 30min,Sobota 03.10.2020_
32,39.24,275.1716,52.74192,ISI_,0,13.501919999999998,-1,-1.0,40.24,-1,1h 30min,Sobota 03.10.2020_
33,47.64,186.2516,782.992319999999,"ME - Mieernictwo elektroniczne, ERI - Elementy robotyki inteligentnej, IO - Inżynieria oprogramowania, WdGM - Wprowadzenie do grafiki maszynowej,_WWW - Programowanie aplikacji www, ASK - Administrowanie sieciami komputerowymi, AiSD - Algorytmy i struktury danych_",0,735.352319999999,-1,-1.0,48.64,-1,2h 30min,Sobota 03.10.2020_
34,47.64,101.9816,134.18255999999997,Wykonał:_Mariusz Bodzioch_,0,86.54255999999997,-1,-1.0,48.64,-1,2h 15min,Sobota 03.10.2020_
35,319.85,116.0216,432.77816,Przedst. samorz. stud.:_,0,112.92815999999999,11:00_,291.29,28.560000000000002,11:45,2h 30min,Sobota 03.10.2020_
36,615.22,116.0216,657.98896,Dziekan:_,0,42.76895999999999,17:00_,599.5,15.720000000000027,17:30,1h 30min,Sobota 03.10.2020_
37,309.17,516.7516,558.0430400000002,"Plan NS sem. zimowy 2020/2021_Informatyka, NS - I st., rok III, semestr 5_",1,248.87304000000023,11:00_,291.29,17.879999999999995,11:30,2h 30min,
