x1,x2,tekst,index
349.73,533.7216,Plan NS sem. zimowy 2021/2022_,0
309.17,516.6516,"Informatyka, NS - I st., rok III, semestr 5_",0
381.53,488.40000000000003,Sobota 02.10.2021_,0
85.8,473.5816,07:00_,0
137.18,473.5816,08:00_,0
188.54,473.5816,09:00_,0
239.9,473.5816,10:00_,0
291.29,473.5816,11:00_,0
342.65,473.5816,12:00_,0
394.01,473.5816,13:00_,0
445.39,473.5816,14:00_,0
496.75,473.5816,15:00_,0
548.11,473.5816,16:00_,0
599.5,473.5816,17:00_,0
650.86,473.5816,18:00_,0
702.22,473.5816,19:00_,0
753.6,473.5816,20:00_,0
85.8,336.2716,07:00_,0
137.18,336.2716,08:00_,0
188.54,336.2716,09:00_,0
239.9,336.2716,10:00_,0
291.29,336.2716,11:00_,0
342.65,336.2716,12:00_,0
394.01,336.2716,13:00_,0
445.39,336.2716,14:00_,0
496.75,336.2716,15:00_,0
548.11,336.2716,16:00_,0
599.5,336.2716,17:00_,0
650.86,336.2716,18:00_,0
702.22,336.2716,19:00_,0
753.6,336.2716,20:00_,0
375.77,351.07,Niedziela 03.10.2021_,0
25.2,412.3816,ISI_,0
48.72,439.2616,ISI 1_,0
48.72,385.7416,ISI 2_,0
25.2,275.0716,ISI_,0
48.72,301.9516,ISI 1_,0
48.72,248.4316,ISI 2_,0
47.64,186.1316,"ME - Mieernictwo elektroniczne, ERI - Elementy robotyki inteligentnej, IO - InżyniERI oprogramowania, WdGM - Wprowadzenie do grafiki maszynowej,_WWW - Programowanie aplikacji www, ASK - Administrowanie sieciami komputerowymi, AiSD - Algorytmy i struktury danych_",0
47.64,101.86160000000001,Wykonał:_Mariusz Bodzioch_,0
319.85,115.9016,Przedst. samorz. stud.:_,0
615.22,115.9016,Dziekan:_,0
349.73,533.7216,Plan NS sem. zimowy 2021/2022_,1
309.17,516.6516,"Informatyka, NS - I st., rok III, semestr 5_",1
381.53,488.40000000000003,Sobota 09.10.2021_,1
85.8,473.5816,07:00_,1
137.18,473.5816,08:00_,1
188.54,473.5816,09:00_,1
239.9,473.5816,10:00_,1
291.29,473.5816,11:00_,1
342.65,473.5816,12:00_,1
394.01,473.5816,13:00_,1
445.39,473.5816,14:00_,1
496.75,473.5816,15:00_,1
548.11,473.5816,16:00_,1
